iteracao,endpoint,tempo_resposta
203,refresh,0.006457110001065303
203,logout,0.0059138830001757015
204,register,0.004335434998210985
204,login,0.005588849999185186
204,refresh,0.006016317998728482
204,logout,0.005144828999618767
205,register,0.005246959000942297
205,login,0.0040786559984553605
205,refresh,0.0055624419983359985
205,logout,0.005717215997719904
206,register,0.005394623000029242
206,login,0.005391307000536472
206,refresh,0.006201915002748137
206,logout,0.0048256860027322546
207,register,0.005304080998030258
207,login,0.004817482000362361
207,refresh,0.006317909999779658
207,logout,0.006468601997767109
208,register,0.005942358999163844
208,login,0.00479220299894223
208,refresh,0.005276446001516888
208,logout,0.005418157001258805
209,register,0.00457347300107358
209,login,0.005013476999010891
209,refresh,0.005854842998815002
209,logout,0.005190744999708841
210,register,0.005556389998673694
210,login,0.005083517000457505
210,refresh,0.005476803999044932
210,logout,0.006490990999736823
211,register,0.005180400999961421
211,login,0.005213507000007667
211,refresh,0.005710699999326607
211,logout,0.005643181997584179
212,register,0.004797319001227152
212,login,0.005354994002118474
212,refresh,0.006840859001385979
212,logout,0.004944796000927454
213,register,0.005655929999193177
213,login,0.0053134860027057584
213,refresh,0.006212979998963419
213,logout,0.006174302001454635
214,register,0.005805422999401344
214,login,0.005286626001179684
214,refresh,0.004944594998960383
214,logout,0.007504347999201855
215,register,0.0062526299989258405
215,login,0.005410426998423645
215,refresh,0.005933493001066381
215,logout,0.005969507998088375
216,register,0.005385877997468924
216,login,0.004908757000521291
216,refresh,0.005830451998917852
216,logout,0.006369380997057306
217,register,0.0045304140003281645
217,login,0.005177648999961093
217,refresh,0.005556356001761742
217,logout,0.0059692060021916404
218,register,0.005588465999608161
218,login,0.00542000999848824
218,refresh,0.00523530400096206
218,logout,0.005100457998196362
219,register,0.004988802000298165
219,login,0.005459363001136808
219,refresh,0.005948979000095278
219,logout,0.00676556799953687
220,register,0.005298346997733461
220,login,0.005658688001858536
220,refresh,0.005363901000237092
220,logout,0.0051183449977543205
221,register,0.005514225998922484
221,login,0.005420880999736255
221,refresh,0.005653680000250461
221,logout,0.005549633999180514
222,register,0.005144355000084033
222,login,0.004122957998333732
222,refresh,0.0057041260006371886
222,logout,0.005501466999703553
223,register,0.005123889000969939
223,login,0.005519641999853775
223,refresh,0.005089547998068156
223,logout,0.006102940002165269
224,register,0.005638591999741038
224,login,0.005110080001031747
224,refresh,0.006765762002032716
224,logout,0.006612389999645529
225,register,0.0063474599992332514
225,login,0.006037556999217486
225,refresh,0.006003546001011273
225,logout,0.006536143002449535
226,register,0.006463153000368038
226,login,0.005138330001500435
226,refresh,0.005644052998832194
226,logout,0.006018369997036643
227,register,0.004180687003099592
227,login,0.005274070997984381
227,refresh,0.005867509000381688
227,logout,0.004911356998491101
228,register,0.0053237129977787845
228,login,0.005121497997606639
228,refresh,0.004994642000383465
228,logout,0.005690676000085659
229,register,0.00468764499964891
229,login,0.0051037829980487
229,refresh,0.005695427000318887
229,logout,0.005466440998134203
230,register,0.005281835998175666
230,login,0.005491224997967947
230,refresh,0.006271237001783447
230,logout,0.0061956639983691275
231,register,0.005399390000093263
231,login,0.004804747997695813
231,refresh,0.005681017999449978
231,logout,0.006259801000851439
232,register,0.0051610909977171104
232,login,0.005196132999117253
232,refresh,0.005870401000720449
232,logout,0.005275911000353517
233,register,0.004959227000654209
233,login,0.005562414997257292
233,refresh,0.005566651001572609
233,logout,0.0058398369983478915
234,register,0.007139117002225248
234,login,0.006868233002023771
234,refresh,0.0062649040010001045
234,logout,0.005234600001131184
235,register,0.005388003002735786
235,login,0.005397174998506671
235,refresh,0.005402108999987831
235,logout,0.006947981000848813
236,register,0.004953220999595942
236,login,0.004681800000980729
236,refresh,0.0057882820001395885
236,logout,0.005689113997505046
237,register,0.004412831000081496
237,login,0.00545237400001497
237,refresh,0.005491083997185342
237,logout,0.005775489000370726
238,register,0.005659254002239322
238,login,0.00488144600240048
238,refresh,0.00550980600019102
238,logout,0.005436658997496124
239,register,0.004947580000589369
239,login,0.005084947002615081
239,refresh,0.006171406999783358
239,logout,0.006650019000517204
240,register,0.004288853997422848
240,login,0.0049471809979877435
240,refresh,0.004742615998111432
240,logout,0.006115144002251327
241,register,0.005447660998470383
241,login,0.00464821499917889
241,refresh,0.0060597729971050285
241,logout,0.00633203400138882
242,register,0.004957194003509358
242,login,0.0054650940001010895
242,refresh,0.006111293998401379
242,logout,0.005729664997488726
243,register,0.0046648620009364095
243,login,0.004800054997758707
243,refresh,0.006078632999560796
243,logout,0.005884426998818526
244,register,0.005593360998318531
244,login,0.004222290001052897
244,refresh,0.005682643000909593
244,logout,0.005402543996751774
245,register,0.004501187002460938
245,login,0.005290769000566797
245,refresh,0.005993964998197043
245,logout,0.00591722199897049
246,register,0.005736796996643534
246,login,0.004904263998469105
